name,slug,value,date_of_information,ranking,region
"Afghanistan","afghanistan","106.75","","1","South Asia"
"Somalia","somalia","88.03","","2","Africa"
"Central African Republic","central-african-republic","84.22","","3","Africa"
"Niger","niger","68.12","","4","Africa"
"Chad","chad","67.02","","5","Africa"
"Sierra Leone","sierra-leone","65.34","","6","Africa"
"Gambia, The","gambia-the","65.04","","7","Africa"
"South Sudan","south-sudan","64.77","","8","Africa"
"Equatorial Guinea","equatorial-guinea","63.25","","9","Africa"
"Mozambique","mozambique","63.03","","10","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","62.63","","11","Africa"
"Mali","mali","62.31","","12","Africa"
"Angola","angola","60.58","","13","Africa"
"Nigeria","nigeria","58.23","","14","Africa"
"Comoros","comoros","58.21","","15","Africa"
"Cote d'Ivoire","cote-divoire","57.36","","16","Africa"
"Benin","benin","57.23","","17","Africa"
"Pakistan","pakistan","55.26","","18","South Asia"
"Mauritania","mauritania","52.05","","19","Africa"
"Guinea","guinea","50.99","","20","Africa"
"Burkina Faso","burkina-faso","50.71","","21","Africa"
"Guinea-Bissau","guinea-bissau","50.44","","22","Africa"
"Lesotho","lesotho","50.23","","23","Africa"
"Cameroon","cameroon","50.09","","24","Africa"
"Laos","laos","49.48","","25","East Asia/Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","49.28","","26","Africa"
"Djibouti","djibouti","47.78","","27","Africa"
"Senegal","senegal","47.72","","28","Africa"
"Yemen","yemen","47.56","","29","Middle East"
"Liberia","liberia","45.98","","30","Africa"
"Cambodia","cambodia","45.62","","31","East Asia/Southeast Asia"
"Sao Tome and Principe","sao-tome-and-principe","45.30","","32","Africa"
"Sudan","sudan","43.15","","33","Africa"
"Togo","togo","42.64","","34","Africa"
"Eritrea","eritrea","42.39","","35","Africa"
"Haiti","haiti","41.29","","36","Central America"
"Eswatini","eswatini","41.20","","37","Africa"
"Papua New Guinea","papua-new-guinea","40.33","","38","East Asia/Southeast Asia"
"Madagascar","madagascar","39.82","","39","Africa"
"India","india","39.55","","40","South Asia"
"Bolivia","bolivia","39.27","","41","South America"
"Burundi","burundi","38.96","","42","Africa"
"Turkmenistan","turkmenistan","38.54","","43","Central Asia"
"Zambia","zambia","37.91","","44","Africa"
"Bhutan","bhutan","35.99","","45","South Asia"
"Kosovo","kosovo","35.93","","46","Europe"
"Ethiopia","ethiopia","34.62","","47","Africa"
"Timor-Leste","timor-leste","34.47","","48","East Asia/Southeast Asia"
"Malawi","malawi","34.19","","49","Africa"
"Burma","burma","33.71","","50","East Asia/Southeast Asia"
"Kiribati","kiribati","33.66","","51","Australia - Oceania"
"Ghana","ghana","33.33","","52","Africa"
"Tajikistan","tajikistan","33.05","","53","Central Asia"
"Tanzania","tanzania","31.51","","54","Africa"
"Uganda","uganda","31.49","","55","Africa"
"Bangladesh","bangladesh","31.13","","56","South Asia"
"Namibia","namibia","30.38","","57","Africa"
"Tuvalu","tuvalu","29.52","","58","Australia - Oceania"
"Gabon","gabon","29.45","","59","Africa"
"Zimbabwe","zimbabwe","29.41","","60","Africa"
"Kenya","kenya","28.81","","61","Africa"
"Rwanda","rwanda","27.16","","62","Africa"
"South Africa","south-africa","26.82","","63","Africa"
"Guatemala","guatemala","26.81","","64","Central America"
"Suriname","suriname","26.60","","65","South America"
"Maldives","maldives","26.40","","66","South Asia"
"Kyrgyzstan","kyrgyzstan","26.26","","67","Central Asia"
