name,slug,value,date_of_information,ranking,region
"Syria","syria","34.34","2021 est.","1","Middle East"
"South Sudan","south-sudan","22.04","2021 est.","2","Africa"
"Venezuela","venezuela","14.22","2021 est.","3","South America"
"British Virgin Islands","british-virgin-islands","13.93","2021 est.","4","Central America"
"Cayman Islands","cayman-islands","12.80","2021 est.","5","Central America"
"Luxembourg","luxembourg","12.65","2021 est.","6","Europe"
"Anguilla","anguilla","10.87","2021 est.","7","Central America"
"Monaco","monaco","9.16","2021 est.","8","Europe"
"Turks and Caicos Islands","turks-and-caicos-islands","8.74","2021 est.","9","Central America"
"Aruba","aruba","8.27","2021 est.","10","Central America"
"Australia","australia","7.49","2021 est.","11","Australia - Oceania"
"Burundi","burundi","7.35","2021 est.","12","Africa"
"Cyprus","cyprus","7.29","2021 est.","13","Europe"
"New Zealand","new-zealand","6.89","2021 est.","14","Australia - Oceania"
"San Marino","san-marino","6.38","2021 est.","15","Europe"
"Malta","malta","6.04","2021 est.","16","Europe"
"Sint Maarten","sint-maarten","5.90","2021 est.","17","Central America"
"South Georgia and South Sandwich Islands","south-georgia-and-south-sandwich-islands","5.90","2021 est.","18","South America"
"Canada","canada","5.55","2021 est.","19","North America"
"Saudi Arabia","saudi-arabia","5.04","2021 est.","20","Middle East"
"Isle of Man","isle-of-man","5.01","2021 est.","21","Europe"
"Sweden","sweden","4.87","2021 est.","22","Europe"
"Liechtenstein","liechtenstein","4.84","2021 est.","23","Europe"
"Djibouti","djibouti","4.81","2021 est.","24","Africa"
"Belgium","belgium","4.58","2021 est.","25","Europe"
"Switzerland","switzerland","4.55","2021 est.","26","Europe"
"Qatar","qatar","4.30","2021 est.","27","Middle East"
"Singapore","singapore","4.26","2021 est.","28","East Asia/Southeast Asia"
"Norway","norway","3.95","2021 est.","29","Europe"
"Ireland","ireland","3.83","2021 est.","30","Europe"
"Gabon","gabon","3.76","2021 est.","31","Africa"
"New Caledonia","new-caledonia","3.71","2021 est.","32","Australia - Oceania"
"Austria","austria","3.57","2021 est.","33","Europe"
"Italy","italy","3.21","2021 est.","34","Europe"
"Macau","macau","3.17","2021 est.","35","East Asia/Southeast Asia"
"Iceland","iceland","3.09","2021 est.","36","Europe"
"United States","united-states","3.03","2021 est.","37","North America"
"Botswana","botswana","2.85","2021 est.","38","Africa"
"Denmark","denmark","2.74","2021 est.","39","Europe"
"Korea, South","korea-south","2.65","2021 est.","40","East Asia/Southeast Asia"
"United Kingdom","united-kingdom","2.47","2021 est.","41","Europe"
"Finland","finland","2.46","2021 est.","42","Europe"
"Czechia","czechia","2.32","2021 est.","43","Europe"
"Brunei","brunei","2.22","2021 est.","44","East Asia/Southeast Asia"
"Antigua and Barbuda","antigua-and-barbuda","2.06","2021 est.","45","Central America"
"Israel","israel","2.05","2021 est.","46","Middle East"
"Jersey","jersey","2.03","2021 est.","47","Europe"
"Netherlands","netherlands","1.90","2021 est.","48","Europe"
"Guernsey","guernsey","1.80","2021 est.","49","Europe"
"Russia","russia","1.70","2021 est.","50","Central Asia"
"Hong Kong","hong-kong","1.65","2021 est.","51","East Asia/Southeast Asia"
"Bermuda","bermuda","1.54","2021 est.","52","North America"
"Slovenia","slovenia","1.54","2021 est.","53","Europe"
"Germany","germany","1.50","2021 est.","54","Europe"
"Malaysia","malaysia","1.49","2021 est.","55","East Asia/Southeast Asia"
"Spain","spain","1.39","2021 est.","56","Europe"
"Hungary","hungary","1.24","2021 est.","57","Europe"
"Cote d'Ivoire","cote-divoire","1.21","2021 est.","58","Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","1.16","2021 est.","59","Central America"
"France","france","1.06","2021 est.","60","Europe"
"Greece","greece","0.97","2021 est.","61","Europe"
"Seychelles","seychelles","0.90","2021 est.","62","Africa"
"Costa Rica","costa-rica","0.78","2021 est.","63","Central America"
"Japan","japan","0.75","2021 est.","64","East Asia/Southeast Asia"
"Taiwan","taiwan","0.75","2021 est.","65","East Asia/Southeast Asia"
"Belarus","belarus","0.72","2021 est.","66","Europe"
"Portugal","portugal","0.62","2021 est.","67","Europe"
"Suriname","suriname","0.53","2021 est.","68","South America"
"Palau","palau","0.51","2021 est.","69","Australia - Oceania"
"Kazakhstan","kazakhstan","0.39","2021 est.","70","Central Asia"
"Chile","chile","0.33","2021 est.","72","South America"
"Zambia","zambia","0.33","2021 est.","73","Africa"
"Benin","benin","0.25","2021 est.","74","Africa"
"Slovakia","slovakia","0.20","2021 est.","75","Europe"
"Georgia","georgia","0.06","2021 est.","76","Middle East"
"Andorra","andorra","0.00","2021 est.","77","Europe"
"Azerbaijan","azerbaijan","0.00","2021 est.","78","Middle East"
"Bahamas, The","bahamas-the","0.00","2021 est.","79","Central America"
"Bhutan","bhutan","0.00","2021 est.","80","South Asia"
"Congo, Republic of the","congo-republic-of-the","0.00","2021 est.","81","Africa"
"Ecuador","ecuador","0.00","2021 est.","82","South America"
"Equatorial Guinea","equatorial-guinea","0.00","2021 est.","83","Africa"
"Faroe Islands","faroe-islands","0.00","2021 est.","84","Europe"
"Guinea","guinea","0.00","2021 est.","85","Africa"
"Madagascar","madagascar","0.00","2021 est.","86","Africa"
"Malawi","malawi","0.00","2021 est.","87","Africa"
"Mauritius","mauritius","0.00","2021 est.","88","Africa"
"Montserrat","montserrat","0.00","2021 est.","89","Central America"
"Namibia","namibia","0.00","2021 est.","90","Africa"
"Papua New Guinea","papua-new-guinea","0.00","2021 est.","91","East Asia/Southeast Asia"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","0.00","2021 est.","92","Africa"
"Serbia","serbia","0.00","2021 est.","93","Europe"
"Thailand","thailand","-0.03","2021 est.","94","East Asia/Southeast Asia"
"India","india","-0.04","2021 est.","95","South Asia"
"Korea, North","korea-north","-0.04","2021 est.","96","East Asia/Southeast Asia"
"Paraguay","paraguay","-0.07","2021 est.","97","South America"
"Argentina","argentina","-0.08","2021 est.","98","South America"
"Afghanistan","afghanistan","-0.10","2021 est.","99","South Asia"
"Panama","panama","-0.11","2021 est.","100","Central America"
"South Africa","south-africa","-0.12","2021 est.","101","Africa"
"Brazil","brazil","-0.13","2021 est.","102","South America"
"Chad","chad","-0.13","2021 est.","103","Africa"
"Ghana","ghana","-0.17","2021 est.","104","Africa"
"Yemen","yemen","-0.19","2021 est.","105","Middle East"
"Angola","angola","-0.20","2021 est.","106","Africa"
"Ethiopia","ethiopia","-0.20","2021 est.","107","Africa"
"Kenya","kenya","-0.20","2021 est.","108","Africa"
"Romania","romania","-0.20","2021 est.","109","Europe"
"Nigeria","nigeria","-0.21","2021 est.","110","Africa"
"Bolivia","bolivia","-0.23","2021 est.","111","South America"
"Vietnam","vietnam","-0.23","2021 est.","112","East Asia/Southeast Asia"
"Ukraine","ukraine","-0.26","2021 est.","113","Europe"
"Barbados","barbados","-0.29","2021 est.","114","Central America"
"Bulgaria","bulgaria","-0.29","2021 est.","115","Europe"
"Cambodia","cambodia","-0.29","2021 est.","116","East Asia/Southeast Asia"
"Iran","iran","-0.30","2021 est.","117","Middle East"
"Cameroon","cameroon","-0.32","2021 est.","118","Africa"
"Poland","poland","-0.33","2021 est.","119","Europe"
"Egypt","egypt","-0.34","2021 est.","120","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","-0.38","2021 est.","121","Europe"
"China","china","-0.43","2021 est.","122","East Asia/Southeast Asia"
"Oman","oman","-0.44","2021 est.","123","Middle East"
"Tanzania","tanzania","-0.44","2021 est.","124","Africa"
"Cabo Verde","cabo-verde","-0.58","2021 est.","125","Africa"
"Colombia","colombia","-0.60","2021 est.","126","South America"
"Burkina Faso","burkina-faso","-0.62","2021 est.","127","Africa"
"French Polynesia","french-polynesia","-0.66","2021 est.","128","Australia - Oceania"
"Niger","niger","-0.66","2021 est.","129","Africa"
"Paracel Islands","paracel-islands","-0.66","2021 est.","130","East Asia/Southeast Asia"
"Bahrain","bahrain","-0.67","2021 est.","131","Middle East"
"Iraq","iraq","-0.68","2021 est.","132","Middle East"
"Indonesia","indonesia","-0.72","2021 est.","133","East Asia/Southeast Asia"
"Croatia","croatia","-0.74","2021 est.","134","Europe"
"Mauritania","mauritania","-0.74","2021 est.","135","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","-0.78","2021 est.","136","Africa"
"Mongolia","mongolia","-0.78","2021 est.","137","East Asia/Southeast Asia"
"Algeria","algeria","-0.84","2021 est.","138","Africa"
"Uruguay","uruguay","-0.88","2021 est.","139","South America"
"Pakistan","pakistan","-0.92","2021 est.","140","South Asia"
"Lebanon","lebanon","-0.95","2021 est.","141","Middle East"
"Sierra Leone","sierra-leone","-0.96","2021 est.","142","Africa"
"Belize","belize","-0.98","2021 est.","143","Central America"
"Laos","laos","-0.99","2021 est.","144","East Asia/Southeast Asia"
"Tajikistan","tajikistan","-1.05","2021 est.","145","Central Asia"
"Libya","libya","-1.15","2021 est.","146","Africa"
"Senegal","senegal","-1.24","2021 est.","147","Africa"
"Sri Lanka","sri-lanka","-1.24","2021 est.","148","South Asia"
"Curacao","curacao","-1.32","2021 est.","149","Central America"
"Vanuatu","vanuatu","-1.32","2021 est.","150","Australia - Oceania"
"Tunisia","tunisia","-1.34","2021 est.","151","Africa"
"Honduras","honduras","-1.35","2021 est.","152","Central America"
"Saint Lucia","saint-lucia","-1.37","2021 est.","153","Central America"
"Burma","burma","-1.38","2021 est.","154","East Asia/Southeast Asia"
"Kosovo","kosovo","-1.44","2021 est.","155","Europe"
"Mexico","mexico","-1.46","2021 est.","156","North America"
"Gambia, The","gambia-the","-1.55","2021 est.","157","Africa"
"Turkey","turkey","-1.55","2021 est.","158","Middle East"
"Solomon Islands","solomon-islands","-1.57","2021 est.","159","Australia - Oceania"
"Mozambique","mozambique","-1.62","2021 est.","160","Africa"
"Guatemala","guatemala","-1.69","2021 est.","161","Central America"
"Sudan","sudan","-1.71","2021 est.","162","Africa"
"Turkmenistan","turkmenistan","-1.72","2021 est.","163","Central Asia"
"Philippines","philippines","-1.75","2021 est.","164","East Asia/Southeast Asia"
"Peru","peru","-1.76","2021 est.","165","South America"
"Morocco","morocco","-1.83","2021 est.","166","Africa"
"Togo","togo","-1.86","2021 est.","167","Africa"
"Uzbekistan","uzbekistan","-1.86","2021 est.","168","Central Asia"
"Haiti","haiti","-1.90","2021 est.","169","Central America"
"Nicaragua","nicaragua","-2.27","2021 est.","170","Central America"
"Comoros","comoros","-2.28","2021 est.","171","Africa"
"Saint Barthelemy","saint-barthelemy","-2.39","2021 est.","172","Central America"
"Grenada","grenada","-2.53","2021 est.","173","Central America"
"Dominican Republic","dominican-republic","-2.71","2021 est.","174","Central America"
"Kiribati","kiribati","-2.81","2021 est.","175","Australia - Oceania"
"Liberia","liberia","-2.82","2021 est.","176","Africa"
"Estonia","estonia","-2.85","2021 est.","177","Europe"
"Bangladesh","bangladesh","-2.93","2021 est.","178","South Asia"
"Somalia","somalia","-2.98","2021 est.","179","Africa"
"Mali","mali","-3.17","2021 est.","180","Africa"
"United Arab Emirates","united-arab-emirates","-3.18","2021 est.","181","Middle East"
"Albania","albania","-3.24","2021 est.","182","Europe"
"Gibraltar","gibraltar","-3.25","2021 est.","183","Europe"
"Rwanda","rwanda","-3.27","2021 est.","184","Africa"
"Central African Republic","central-african-republic","-3.28","2021 est.","185","Africa"
"Cuba","cuba","-3.32","2021 est.","186","Central America"
"Uganda","uganda","-3.37","2021 est.","187","Africa"
"Kuwait","kuwait","-3.65","2021 est.","188","Middle East"
"Guinea-Bissau","guinea-bissau","-3.72","2021 est.","189","Africa"
"Timor-Leste","timor-leste","-3.84","2021 est.","190","East Asia/Southeast Asia"
"Tokelau","tokelau","-3.84","2021 est.","191","Australia - Oceania"
"Nepal","nepal","-4.12","2021 est.","192","South Asia"
"Wallis and Futuna","wallis-and-futuna","-4.16","2021 est.","193","Australia - Oceania"
"West Bank","west-bank","-4.16","2021 est.","194","Middle East"
"Marshall Islands","marshall-islands","-4.43","2021 est.","195","Australia - Oceania"
"Lesotho","lesotho","-4.59","2021 est.","196","Africa"
"Gaza Strip","gaza-strip","-4.65","2021 est.","197","Middle East"
"Lithuania","lithuania","-4.75","2021 est.","198","Europe"
"Kyrgyzstan","kyrgyzstan","-4.91","2021 est.","199","Central Asia"
