name,slug,value,date_of_information,ranking,region
"Cocos (Keeling) Islands","cocos-keeling-islands","0.10","2011","1","Australia - Oceania"
"Cambodia","cambodia","0.30","2017 est.","2","East Asia/Southeast Asia"
"Niger","niger","0.30","2017 est.","3","Africa"
"Laos","laos","0.70","2017 est.","4","East Asia/Southeast Asia"
"Malta","malta","0.78","2019 est.","5","Europe"
"Belarus","belarus","0.80","2017 est.","6","Europe"
"Thailand","thailand","0.99","2019 est.","7","East Asia/Southeast Asia"
"Benin","benin","1.00","2014 est.","8","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","1.00","2016 est.","9","South America"
"Gibraltar","gibraltar","1.00","2016 est.","10","Europe"
"Isle of Man","isle-of-man","1.10","2017 est.","11","Europe"
"Kuwait","kuwait","1.10","2017 est.","12","Middle East"
"Tonga","tonga","1.10","2011 est.","13","Australia - Oceania"
"Guernsey","guernsey","1.20","2016 est.","14","Europe"
"United Arab Emirates","united-arab-emirates","1.60","2016 est.","15","Middle East"
"Palau","palau","1.70","2015 est.","16","Australia - Oceania"
"Vanuatu","vanuatu","1.70","1999 est.","17","Australia - Oceania"
"Madagascar","madagascar","1.80","2017 est.","18","Africa"
"Macau","macau","2.00","2017 est.","19","East Asia/Southeast Asia"
"Monaco","monaco","2.00","2012","20","Europe"
"Tokelau","tokelau","2.00","2015 est.","21","Australia - Oceania"
"Faroe Islands","faroe-islands","2.20","2017 est.","22","Europe"
"Singapore","singapore","2.25","2019 est.","23","East Asia/Southeast Asia"
"Guatemala","guatemala","2.30","2017 est.","24","Central America"
"Switzerland","switzerland","2.31","2019 est.","25","Europe"
"Japan","japan","2.36","2019 est.","26","East Asia/Southeast Asia"
"Liechtenstein","liechtenstein","2.40","2015","27","Europe"
"Tajikistan","tajikistan","2.40","2016 est.","28","Central Asia"
"Papua New Guinea","papua-new-guinea","2.50","2017 est.","29","East Asia/Southeast Asia"
"Cuba","cuba","2.60","2017 est.","30","Central America"
"Guinea","guinea","2.70","2017 est.","31","Africa"
"Rwanda","rwanda","2.70","2014 est.","32","Africa"
"Czechia","czechia","2.80","2019 est.","33","Europe"
"Liberia","liberia","2.80","2014 est.","34","Africa"
"British Virgin Islands","british-virgin-islands","2.90","2015 est.","35","Central America"
"Maldives","maldives","2.90","2017 est.","36","South Asia"
"Hong Kong","hong-kong","2.93","2019 est.","37","East Asia/Southeast Asia"
"Nepal","nepal","3.00","2017 est.","38","South Asia"
"Seychelles","seychelles","3.00","2017 est.","39","Africa"
"Denmark","denmark","3.05","2019 est.","40","Europe"
"Romania","romania","3.06","2019 est.","41","Europe"
"Vietnam","vietnam","3.11","2018 est.","42","East Asia/Southeast Asia"
"United Kingdom","united-kingdom","3.17","2019 est.","43","Europe"
"Kyrgyzstan","kyrgyzstan","3.18","2019 est.","44","Central Asia"
